run_id,condition,rt,stimulus,button_pressed,window_width,window_height,trial_type,trial_index,time_elapsed,internal_node_id,subject,chinFirst,choiceTask_amountLeftFirst,webcam_label,webcam_Id,webcam_fps,webcam_aspectRatio,webcam_height,webcam_width,bonusAmount,bonusDelay,responses,key_press,success,x_pos,y_pos,chin,task_nr,eyeData,trial_duration,option_topLeft,option_bottomLeft,option_topRight,option_bottomRight,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
3,1,1257.3549999999614,"<div style=""position: fixed; display: inline-block; top: 20%; right: 20%; text-align: right;""><img src=""fu_logo.PNG"" alt=""[FU Berlin Logo]"" style=""width: 25%;""></div><div><br><br><p><strong>Welcome, dear participant! </strong></p><p>Thank you for your interest in and your support for our research.<br> This study is run by researchers at Freie Universität Berlin. </p></div>",0,2047,1050,html-button-response,0,1260,0.0-0.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,2084.190000000035,"""","""","""","""",survey-html-form,1,3360,0.0-1.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","{""prolificID"":""0""}","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,2208.925000000023,"<p>Please, use only <strong>one monitor</strong> for this study.<br>If necessary, switch off the other monitors.</p>",0,"""","""",html-button-response,2,5570,0.0-2.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,852.2850000000526,"<p><strong>Please turn your mobile phone into Airplane Mode and close all CPU- or data-intensive programs and websites!</strong><br> (e.g. running Youtube Videos or Torrents)</p>",0,"""","""",html-button-response,3,6424,0.0-3.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,null,"""","""","""","""",html-keyboard-response,4,6538,0.0-4.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,null,"""","""","""","""",html-keyboard-response,5,6746,0.0-5.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""",null,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,48345.204999999965,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. </li></ol></div><img src=""lightInstruct.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,6,55093,0.0-6.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,10064.695000000022,"<div style=""width: 45%; text-align: left; margin: auto;""><ol start='3'><li>Check the video and stay in the highlighted rectangle so that it becomes green. </li><li>Try as much as possible to follow the instructions on these pictures and avoid moving your head. If you move too much, the calibration can fail and you might not be able to finish the study. </li><li><strong>If necessary, adjust your laptop, monitor, webcam, or chair. </strong></li></ol></div><img src=""ETInstructions.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,7,65163,0.0-7.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,"""","""","""",2047,1050,fullscreen,8,67606,0.0-8.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""","""",true,"""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
3,1,7208.6000000000495,"<div style=""width: 45%; margin: auto; text-align: justify;""><p>For the next task, please do <strong>not</strong> rest your head on your arm but keep your head in a natural position. Get sure that you stay in the rectangle in the video stream while doing that. </p><p>However, in order to make this measurement as accurate as possible, please keep your head at the same position at all time so that you <strong>only move your eyes</strong> when you look at the screen. </p></div><p style=""text-align: center;"">Press Space to continue </p>","""","""","""",html-keyboard-response,9,74820,0.0-9.0,412,0,0,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,$4,"15 days","""",32,"""","""","""","""","""","""","""","""","""","""","""","2021-01-13 17:40:08",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
