run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,chinFirst,choiceTask_amountLeftFirst,webcam_label,webcam_fps,webcam_height,webcam_width,button_pressed,window_width,window_height,responses,chin,success,x_pos,y_pos,task_nr,et_data,trial_duration,option_topLeft,option_bottomLeft,option_topRight,option_bottomRight,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
8,1,null,"""",null,html-keyboard-response,0,102,0.0-0.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,10918,"<div style=""position: fixed; display: inline-block; top: 20%; right: 20%; text-align: right;""><img src=""fu_logo.PNG"" alt=""[FU Berlin Logo]"" style=""width: 25%;""></div><div><br><br><p><strong>Welcome, dear participant! </strong></p><p>Thank you for your interest in and your support for our research.<br> This study is run by researchers at Freie Universität Berlin. </p></div>","""",html-button-response,1,11024,0.0-1.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,0,1920,895,"""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,12462,"""","""",survey-html-form,2,23487,0.0-2.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","{""prolificID"":""Studie1970""}","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,2352,"<p>Please, use only <strong>one monitor</strong> for this study.<br>If necessary, switch off the other monitors.</p>","""",html-button-response,3,25841,0.0-3.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,1494,"<p><strong>Please turn your mobile phone into Airplane Mode and close all CPU- or data-intensive programs and websites!</strong><br> (e.g. running Youtube Videos or Torrents)</p>","""",html-button-response,4,27336,0.0-4.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,"""","""","""",eyetracking-init,5,44844,0.0-5.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""",1920,895,"""",0,"""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,null,"""",null,html-keyboard-response,6,44949,0.0-6.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,1917,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. </li></ol></div><img src=""lightInstruct.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">","""",html-button-response,7,46870,0.0-7.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,1824,"<div style=""width: 45%; text-align: left; margin: auto;""><ol start='3'><li>Check the video and stay in the highlighted rectangle so that it becomes green. </li><li>Try as much as possible to follow the instructions on these pictures and avoid moving your head. If you move too much, the calibration can fail and you might not be able to finish the study. </li><li><strong>If necessary, adjust your laptop, monitor, webcam, or chair. </strong></li></ol></div><img src=""ETInstructions.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">","""",html-button-response,8,48696,0.0-8.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,null,"""",null,html-keyboard-response,9,48803,0.0-9.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,"""","""","""",fullscreen,10,51470,0.0-10.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""",1920,895,"""","""",true,"""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,null,"""",null,html-keyboard-response,11,51573,0.0-11.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,70332.00000000001,"<div style=""width: 45%; margin: auto; text-align: justify;""><p>In order to make this measurement as accurate as possible, please rest your head on <u>one</u> of your arms, with your elbow on the desk (see image) You face may be covered a little bit but please keep your eyes visible. Get sure that you stay in the green rectangle in the video stream while doing that. </p><p>The idea is to keep your head at the same position at all time so that you <strong>only move your eyes</strong> when you look at the screen. </p></div><div style=""text-align: center;""><img src=""chinstruction.PNG"" alt=""Oh, this image cannot be displayed"" style=""width: 15%;""></div><p style=""text-align: center;"">Press Space to continue </p></div><br>",32,html-keyboard-response,12,121909,0.0-12.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,57700.999999999985,"<p><strong>Can you stay in that pose for a while?</strong></p><p>If not, then please adjust now in order to be comfortable.</p><br><p>Press Space to continue</p>",32,html-keyboard-response,13,179614,0.0-13.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,55850,"<div style=""position: fixed; top: 30%; left: 27.5%; width: 45%; margin: auto; text-align: justify;""><p>For calibration purposes, there will be buttons (39 in total) appearing one after another. <strong>Click 14x on each button</strong> until it turns green. Then the next button will appear. This will take around <strong>3 minutes. </strong></p><p>For an accurate measurement, please <strong><u>always</u></strong> follow the mouse cursor with your eyes. </p><br><p style=""text-align: center;"">Press Space to continue</p></div>",32,html-keyboard-response,14,235467,0.0-14.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,null,"""",null,html-keyboard-response,15,235572,0.0-15.0-0.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,null,"""",null,html-keyboard-response,16,235676,0.0-15.0-1.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
8,1,null,"""",null,html-keyboard-response,17,237178,0.0-15.0-2.0-0.0,777,1,1,"FaceTime HD-Kamera (integriert)",29.969999313354492,480,640,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-01-17 10:25:33",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15",Macintosh,Safari,14.0.2,"OS X",10_15_6
