run_id,condition,rt,stimulus,button_pressed,window_width,window_height,trial_type,trial_index,time_elapsed,internal_node_id,subject,chinFirst,choiceTask_amountLeftFirst,webcam_label,webcam_Id,webcam_fps,webcam_aspectRatio,webcam_height,webcam_width,responses,key_press,success,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
1,1,10666.23999999999,"<div style=""position: fixed; display: inline-block; top: 20%; right: 20%; text-align: right;""><img src=""fu_logo.PNG"" alt=""[FU Berlin Logo]"" style=""width: 25%;""></div><div><br><br><p><strong>Welcome, dear participant! </strong></p><p>Thank you for your interest in and your support for our research.<br> This study is run by researchers at Freie Universität Berlin. </p></div>",0,2047,1050,html-button-response,0,10672,0.0-0.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""","""","""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,7924.815000000017,"""","""","""","""",survey-html-form,1,18603,0.0-1.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"{""prolificID"":""0""}","""","""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,4286.764999999999,"<p>Please, use only <strong>one monitor</strong> for this study.<br>If necessary, switch off the other monitors.</p>",0,"""","""",html-button-response,2,22891,0.0-2.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""","""","""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,13669.794999999998,"<p><strong>Please turn your mobile phone into Airplane Mode and close all CPU- or data-intensive programs and websites!</strong><br> (e.g. running Youtube Videos or Torrents)</p>",0,"""","""",html-button-response,3,36563,0.0-3.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""","""","""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,null,"""","""","""","""",html-keyboard-response,4,36675,0.0-4.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""",null,"""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,null,"""","""","""","""",html-keyboard-response,5,36912,0.0-5.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""",null,"""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,104804.925,"<div style=""width: 45%; text-align: left; margin: auto;""><p><strong>For a preliminary adjustment, please consider the following instructions: </strong></p><ol><li>Sit at a table and make sure that you could later rest your elbows on it. </li><li>Sit towards a window or lamp so that there are no shadows on your face. You might additionally turn on a desk lamp for that. </li></ol></div><img src=""lightInstruct.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,6,141719,0.0-6.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""","""","""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,66985.68500000008,"<div style=""width: 45%; text-align: left; margin: auto;""><ol start='3'><li>Check the video and stay in the highlighted rectangle so that it becomes green. </li><li>Try as much as possible to follow the instructions on these pictures and avoid moving your head. If you move too much, the calibration can fail and you might not be able to finish the study. </li><li><strong>If necessary, adjust your laptop, monitor, webcam, or chair. </strong></li></ol></div><img src=""ETInstructions.PNG"" alt=""[Eye-Tracking-Instructions]"" style=""width: 70%;"">",0,"""","""",html-button-response,7,208707,0.0-7.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""","""","""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,"""","""","""",2047,1050,fullscreen,8,213850,0.0-8.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""","""",true,"2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
1,1,12936.359999999928,"<div style=""width: 45%; margin: auto; text-align: justify;""><p>For the next task, please do <strong>not</strong> rest your head on your arm but keep your head in a natural position. Get sure that you stay in the rectangle in the video stream while doing that. </p><p>However, in order to make this measurement as accurate as possible, please keep your head at the same position at all time so that you <strong>only move your eyes</strong> when you look at the screen. </p></div><p style=""text-align: center;"">Press Space to continue </p>","""","""","""",html-keyboard-response,9,226792,0.0-9.0,686,0,1,"Logitech HD Webcam C310 (046d:081b)",4617013f47ced26b4374220a05f53b26b46cde178f98b7605b02151d56d7f045,30,0.0010416666666666667,960,1280,"""",32,"""","2021-01-13 17:31:14",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10.0
